name,feastDay,knownFor,patronOf,dates,origin,gender,traits,quotes,title,associatedDates,lived,bio,funFact
"St. Peter","June 29","St. Peter is recognized as the first pope and a leader among the apostles.","fishermen, popes, net makers","d. c. 64 AD","Galilee/Rome","Male","leadership; dedication; boldness; faithfulness; humility","You are the Messiah, the Son of the living God.; Even if all fall away, I will not.; I will build my church on this rock.","St. Peter","February 22 (Chair of St. Peter)","d. c. 64","Born as Simon in Galilee, he was a fisherman before becoming a devoted follower of Jesus Christ. Peter played a crucial role in the early Church, ultimately facing martyrdom in Rome for his steadfast faith. His legacy as the first pope and his role in spreading Christianity have made him a pillar of the Catholic Church.","St. Peter is often depicted with keys, symbolizing his role in the Church's leadership and the power to bind and loose."
"St. Paul","June 29","A key figure in the early Christian church who spread the Gospel to the Gentiles.","missionaries, writers, tentmakers","d. c. 67 AD","Tarsus/Rome","Male","intellectual; passionate; influential; determined; theological","I have become all things to all people, that I might by all means save some.; For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, will be able to separate us from the love of God.; But God chose the foolish things of the world to shame the wise; God chose the weak things of the world to shame the strong.","St. Paul","January 25 (Conversion of St. Paul)","d. c. 67","St. Paul, originally known as Saul of Tarsus, was a zealous persecutor of Christians before experiencing a profound conversion on the road to Damascus. He became one of Christianity's most influential apostles, traveling extensively to establish churches and writing letters that form a significant portion of the New Testament. His theological insights and teachings continue to shape Christian doctrine and practice today.","St. Paul was a Roman citizen, which afforded him unique privileges and protection as he spread Christianity throughout the Roman Empire."
"St. Mary Magdalene","July 22","The first witness to the Resurrection of Jesus and a devoted follower.","penitent sinners, women, pharmacists","1st century","Magdala","Female","devoted; forgiving; faithful; persevering; loving","I have seen the Lord.; If you forgive the sins of any, they are forgiven.; Mary, do not hold on to me, for I have not yet ascended to the Father.","St. Mary Magdalene","Easter Sunday","1st century","St. Mary Magdalene is celebrated as a pivotal figure in Christianity, known for her unwavering support of Jesus throughout His ministry. She uniquely witnessed His crucifixion and was the first to encounter the resurrected Christ, tasked with sharing the good news with the apostles. Her life reflects transformation, faith, and forgiveness, inspiring countless believers to follow her example of devotion.","St. Mary Magdalene is often mistakenly thought to be synonymous with the unnamed sinful woman in Luke's Gospel, but she is recognized in the New Testament as a separate and significant figure."
"St. Joseph","March 19","The earthly protector of Jesus and spouse of the Virgin Mary.","Workers, fathers, dying, carpenters, searchers for lost items","1st century","Nazareth","Male","humble; devout; protective; diligent; kind","I have chosen you, Joseph, to be the guardian of my son.; Fidelity to God’s call requires courage and trust in His plan.; In obedience, Joseph took Mary and Jesus into his home, embodying the essence of a true protector.","St. Joseph","May 1","d. 1st century","St. Joseph is revered as the humble and steadfast foster father of Jesus Christ and the devoted husband of the Virgin Mary. Known for his unwavering faith and dedication to his family, he is a model for all workers and fathers. His life exemplifies quiet strength, compassion, and virtue amidst life's challenges.","St. Joseph is the only saint in the Catholic Church who does not have any recorded words in the Bible."
"St. Francis of Assisi","October 4","Founder of the Franciscan Order, known for his love of nature and commitment to poverty.","Animals, environment, merchants, Italy","1181-1226","Italy","Male","humble; compassionate; nature-loving; joyful; devout","Preach the Gospel at all times; when necessary, use words.; Above all the grace and the gifts that Christ gives to his beloved is that of overcoming self.; It is in giving that we receive.","St. Francis of Assisi","March 19 (first canonization)","1181-1226","St. Francis of Assisi was born in Italy to a wealthy family but abandoned his riches to live a life of poverty and simplicity. He is renowned for his profound love of all living things, seeing God's presence in nature. His teachings and lifestyle inspired the founding of the Franciscan Order, which emphasizes humility and compassion.","St. Francis is credited with creating the first living nativity scene in 1223."
"St. Clare of Assisi","August 11","Founder of the Order of Poor Ladies, known as the Poor Clares, and devoted follower of St. Francis of Assisi.","Television, eye disease, good weather, eye ailments, laundry workers","1194-1253","Italy","Female","devout; compassionate; generous; humble; dedicated","I desire to glorify God as long as I have breath.; All my hopes are in You, O Lord.; I will never be able to express my gratitude to Him for the mercy He has shown me.","St. Clare of Assisi","March 18 (death date of her first follower, St. Agnes of Assisi)","1194-1253","St. Clare of Assisi was a noblewoman who became a pioneering figure in the Franciscan movement after hearing St. Francis preach. She founded the Order of Poor Ladies, which later became known as the Poor Clares, emphasizing a life of poverty and community. Clare is remembered for her deep spirituality, her commitment to her faith, and her role in promoting the values of humility and charity.","St. Clare is traditionally credited with miraculously stopping an invading army by holding up the Blessed Sacrament."
"St. Anthony of Padua","June 13","A revered Franciscan preacher known for his powerful sermons and miracles.","lost items, poor people, travelers, expectant mothers, fishermen","1195-1231","Portugal/Italy","Male","compassionate; charitable; inspirational; humble; wise","Actions speak louder than words; let your words teach and your actions speak.; You may be the only Bible some people will ever read.; The greatest kindness one can render to any man is leading him to the truth.","St. Anthony of Padua","January 15 (Feast of St. Anthony in some traditions)","1195-1231","St. Anthony of Padua was a Portuguese friar who became a significant figure in the Franciscan Order. Renowned for his profound preaching and connection to the poor, he traveled widely across Italy, touching the lives of many. His legacy is celebrated globally, especially for his intercessions in finding lost items and his compassion for those in need.","St. Anthony's tongue is often depicted as a symbol of his eloquent preaching, and it is said to have remained incorrupt after his death."
"St. Thomas Aquinas","January 28","A profound Dominican theologian and philosopher, he is renowned for his seminal work, Summa Theologica.","students, scholars, universities, philosophers, educators","1225-1274","Italy","Male","intellectual; thoughtful; insightful; dedicated; humble","To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.; The remedy for a wrong is not to be afraid of failure.; Happiness is secured through virtue; it is not a mere pleasure.","St. Thomas Aquinas","March 7 (Canonization); December 6 (Translations)","1225-1274","St. Thomas Aquinas was a Dominican friar and one of the most influential medieval philosophers and theologians. He integrated Aristotelian philosophy with Christian doctrine, profoundly shaping Western thought through his teachings. His intellectual legacy continues to inspire scholars and religious thinkers around the world.","St. Thomas Aquinas is often depicted in art with a dove, symbolizing his connection to the Holy Spirit and divine inspiration."
"St. Catherine of Siena","April 29","A prominent mystic and theologian, she played a crucial role in urging the papacy to return to Rome from Avignon.","Europe, fire prevention, nurses, bodily illnesses, dying people","1347-1380","Italy","Female","intellectual; wisdom; contemplation; mysticism; compassion","Every step of the way, you must know that you are on the road to Heaven.; Nothing great is ever achieved without much enduring.; You are rewarded not according to your work or your time but according to the measure of your love.","St. Catherine of Siena","March 25 (canonization)","1347-1380","St. Catherine of Siena, a devoted laywoman and member of the Dominican Order, devoted her life to prayer and service. Her mystical experiences and profound spiritual insights led her to become one of the first women ever to be declared a Doctor of the Church. Throughout her life, she advocated for the reform of the church and the return of the papacy to Rome.","St. Catherine experienced mystical visions that inspired her to write over 400 letters and various theological works, including her well-known 'Dialogue'."
"St. Joan of Arc","May 30","She led the French army to several important victories during the Hundred Years' War and was later martyred at the young age of 19.","France, soldiers, prisoners, martyrs, captives","1412-1431","France","Female","courage; leadership; conviction; determination; piety","I am not afraid; I was born to do this.; Act, and God will act.; If I am not in the grace of God, may God put me there; and if I am, may God so keep me.","St. Joan of Arc","January 6 (baptism), May 30 (execution)","1412-1431","St. Joan of Arc, a peasant girl from France, claimed to have received divine visions instructing her to support Charles VII in his claim to the French throne. At just 17, she courageously led troops into battle, dramatically changing the course of the war and securing the coronation of Charles VII. Captured by the English, she was executed for her beliefs, becoming a symbol of faith and courage in the face of oppression.","St. Joan of Arc is one of the few saints who was a military leader and is often referred to as the 'Maid of Orléans.'"
